Sequence	RepeatType	Strain	Species	Gene	Allele	SeqID	Position
r15_het-r__CmEmm.R10_298	r15	CmEmm	anserina	het-r	het-r	298	3
r3_het-r__CaDam.R10_299	r3	CaDam	anserina	het-r	het-r	299	1
r16_hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502_300	r16	PaWa137m	anserina	?	hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502	300	1
r6_hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502_301	r6	PaWa137m	anserina	?	hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502	301	2
r7_hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502_302	r7	PaWa137m	anserina	?	hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502	302	3
r8_hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502_303	r8	PaWa137m	anserina	?	hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502	303	4
r9_hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502_304	r9	PaWa137m	anserina	?	hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502	304	5
r10_hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502_305	r10	PaWa137m	anserina	?	hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502	305	6
r11_hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502_306	r11	PaWa137m	anserina	?	hetR__PaWa137m-allkmers_NODE_3_length_397269_cov_70.539779_223897-227502	306	7
r1_hetR__PaWa63p-default_NODE_416_length_12366_cov_49.429778_1-2748_307	r1	PaWa63p	anserina	?	hetR__PaWa63p-default_NODE_416_length_12366_cov_49.429778_1-2748	307	1
r2_hetR__PaWa63p-default_NODE_416_length_12366_cov_49.429778_1-2748_308	r2	PaWa63p	anserina	?	hetR__PaWa63p-default_NODE_416_length_12366_cov_49.429778_1-2748	308	2
r1_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_309	r1	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	309	1
r2_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_310	r2	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	310	2
r3_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_311	r3	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	311	3
r4_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_312	r4	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	312	4
r5_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_313	r5	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	313	5
r6_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_314	r6	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	314	6
r7_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_315	r7	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	315	7
r8_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_316	r8	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	316	8
r9_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_317	r9	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	317	9
r10_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_318	r10	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	318	10
r11_hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320_319	r11	PaWa63p	anserina	?	hetR__PaWa63p-allkmers_NODE_2_length_758680_cov_30.604857_276211-280320	319	11
r1_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_320	r1	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	320	1
r2_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_321	r2	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	321	2
r3_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_322	r3	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	322	3
r4_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_323	r4	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	323	4
r5_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_324	r5	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	324	5
r6_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_325	r6	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	325	6
r7_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_326	r7	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	326	7
r8_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_327	r8	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	327	8
r9_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_328	r9	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	328	9
r10_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_329	r10	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	329	10
r11_hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822_330	r11	PaYp	anserina	?	hetR__PaYp-default_NODE_9_length_320577_cov_49.842498_9713-13822	330	11
r1_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_331	r1	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	331	1
r2_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_332	r2	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	332	2
r3_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_333	r3	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	333	3
r4_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_334	r4	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	334	4
r5_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_335	r5	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	335	5
r6_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_336	r6	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	336	6
r7_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_337	r7	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	337	7
r8_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_338	r8	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	338	8
r9_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_339	r9	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	339	9
r10_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_340	r10	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	340	10
r11_hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337_341	r11	PaYp	anserina	?	hetR__PaYp-allkmers_NODE_3_length_806178_cov_32.455617_263228-267337	341	11
r3_hetR__PaZp-default_NODE_11_length_301905_cov_49.637774_289066-292070_342	r3	PaZp	anserina	?	hetR__PaZp-default_NODE_11_length_301905_cov_49.637774_289066-292070	342	1
r3_hetR__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_380537-383638_343	r3	PaZp	anserina	?	hetR__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_380537-383638	343	1
r10_hetR__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_380537-383638_344	r10	PaZp	anserina	?	hetR__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_380537-383638	344	2
r11_hetR__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_380537-383638_345	r11	PaZp	anserina	?	hetR__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_380537-383638	345	3
e1_het-E1__CmEmm.R10_346	e1	CmEmm	anserina	het-e	het-E1	346	1
e2_het-E1__CmEmm.R10_347	e2	CmEmm	anserina	het-e	het-E1	347	2
e3_het-E1__CmEmm.R10_348	e3	CmEmm	anserina	het-e	het-E1	348	3
e1_het-E1__CmEmm.R10_349	e1	CmEmm	anserina	het-e	het-E1	349	4
e4_het-E1__CmEmm.R10_350	e4	CmEmm	anserina	het-e	het-E1	350	5
e5_het-E1__CmEmm.R10_351	e5	CmEmm	anserina	het-e	het-E1	351	6
e6_het-E1__CmEmm.R10_352	e6	CmEmm	anserina	het-e	het-E1	352	7
e7_het-E1__CmEmm.R10_353	e7	CmEmm	anserina	het-e	het-E1	353	8
e8_het-E1__CmEmm.R10_354	e8	CmEmm	anserina	het-e	het-E1	354	9
e9_het-E1__CmEmm.R10_355	e9	CmEmm	anserina	het-e	het-E1	355	10
e10_het-E1__CmEmm.R10_356	e10	CmEmm	anserina	het-e	het-E1	356	11
e10_het-E1__CmEmm.R10_357	e10	CmEmm	anserina	het-e	het-E1	357	12
e11_het-E1__ChEhDap.R10_358	e11	ChEhDap	anserina	het-e	het-E1	358	1
e2_het-E1__ChEhDap.R10_359	e2	ChEhDap	anserina	het-e	het-E1	359	2
e3_het-E1__ChEhDap.R10_360	e3	ChEhDap	anserina	het-e	het-E1	360	3
e1_het-E1__ChEhDap.R10_361	e1	ChEhDap	anserina	het-e	het-E1	361	4
e12_het-E1__ChEhDap.R10_362	e12	ChEhDap	anserina	het-e	het-E1	362	5
e13_het-E1__ChEhDap.R10_363	e13	ChEhDap	anserina	het-e	het-E1	363	6
e14_het-E1__ChEhDap.R10_364	e14	ChEhDap	anserina	het-e	het-E1	364	7
e15_het-E1__ChEhDap.R10_365	e15	ChEhDap	anserina	het-e	het-E1	365	8
e9_het-E1__ChEhDap.R10_366	e9	ChEhDap	anserina	het-e	het-E1	366	9
e16_het-E1__ChEhDap.R10_367	e16	ChEhDap	anserina	het-e	het-E1	367	10
e10_het-E1__ChEhDap.R10_368	e10	ChEhDap	anserina	het-e	het-E1	368	11
e11_het-E1__PaYp_369	e11	PaYp	anserina	het-e	het-E1	369	1
e2_het-E1__PaYp_370	e2	PaYp	anserina	het-e	het-E1	370	2
e3_het-E1__PaYp_371	e3	PaYp	anserina	het-e	het-E1	371	3
e1_het-E1__PaYp_372	e1	PaYp	anserina	het-e	het-E1	372	4
e17_het-E1__PaYp_373	e17	PaYp	anserina	het-e	het-E1	373	5
e13_het-E1__PaYp_374	e13	PaYp	anserina	het-e	het-E1	374	6
e14_het-E1__PaYp_375	e14	PaYp	anserina	het-e	het-E1	375	7
e15_het-E1__PaYp_376	e15	PaYp	anserina	het-e	het-E1	376	8
e9_het-E1__PaYp_377	e9	PaYp	anserina	het-e	het-E1	377	9
e18_het-E1__PaYp_378	e18	PaYp	anserina	het-e	het-E1	378	10
e10_het-E1__PaYp_379	e10	PaYp	anserina	het-e	het-E1	379	11
e1_het-E2__CoEcp.R10_380	e1	CoEcp	anserina	het-e	het-E2	380	1
e2_het-E2__CoEcp.R10_381	e2	CoEcp	anserina	het-e	het-E2	381	2
e1_het-E2__CoEcp.R10_382	e1	CoEcp	anserina	het-e	het-E2	382	3
e19_het-E2__CoEcp.R10_383	e19	CoEcp	anserina	het-e	het-E2	383	4
e20_het-E2__CoEcp.R10_384	e20	CoEcp	anserina	het-e	het-E2	384	5
e21_het-E2__CoEcp.R10_385	e21	CoEcp	anserina	het-e	het-E2	385	6
e14_het-E2__CoEcp.R10_386	e14	CoEcp	anserina	het-e	het-E2	386	7
e15_het-E2__CoEcp.R10_387	e15	CoEcp	anserina	het-e	het-E2	387	8
e9_het-E2__CoEcp.R10_388	e9	CoEcp	anserina	het-e	het-E2	388	9
e22_het-E2__CoEcp.R10_389	e22	CoEcp	anserina	het-e	het-E2	389	10
e1_het-E3__PaZp.R10_390	e1	PaZp	anserina	het-e	het-E3	390	1
e2_het-E3__PaZp.R10_391	e2	PaZp	anserina	het-e	het-E3	391	2
e1_het-E3__PaZp.R10_392	e1	PaZp	anserina	het-e	het-E3	392	3
e19_het-E3__PaZp.R10_393	e19	PaZp	anserina	het-e	het-E3	393	4
e4_het-E3__PaZp.R10_394	e4	PaZp	anserina	het-e	het-E3	394	5
e20_het-E3__PaZp.R10_395	e20	PaZp	anserina	het-e	het-E3	395	6
e14_het-E3__PaZp.R10_396	e14	PaZp	anserina	het-e	het-E3	396	7
e15_het-E3__PaZp.R10_397	e15	PaZp	anserina	het-e	het-E3	397	8
e9_het-E3__PaZp.R10_398	e9	PaZp	anserina	het-e	het-E3	398	9
e9_het-E3__PaZp.R10_399	e9	PaZp	anserina	het-e	het-E3	399	10
e9_het-E3__PaZp.R10_400	e9	PaZp	anserina	het-e	het-E3	400	11
e22_het-E3__PaZp.R10_401	e22	PaZp	anserina	het-e	het-E3	401	12
e1_het-E3__CoEfp.R10_402	e1	CoEfp	anserina	het-e	het-E3	402	1
e2_het-E3__CoEfp.R10_403	e2	CoEfp	anserina	het-e	het-E3	403	2
e1_het-E3__CoEfp.R10_404	e1	CoEfp	anserina	het-e	het-E3	404	3
e19_het-E3__CoEfp.R10_405	e19	CoEfp	anserina	het-e	het-E3	405	4
e4_het-E3__CoEfp.R10_406	e4	CoEfp	anserina	het-e	het-E3	406	5
e20_het-E3__CoEfp.R10_407	e20	CoEfp	anserina	het-e	het-E3	407	6
e14_het-E3__CoEfp.R10_408	e14	CoEfp	anserina	het-e	het-E3	408	7
e15_het-E3__CoEfp.R10_409	e15	CoEfp	anserina	het-e	het-E3	409	8
e9_het-E3__CoEfp.R10_410	e9	CoEfp	anserina	het-e	het-E3	410	9
e9_het-E3__CoEfp.R10_411	e9	CoEfp	anserina	het-e	het-E3	411	10
e22_het-E3__CoEfp.R10_412	e22	CoEfp	anserina	het-e	het-E3	412	11
e1_het-e4__CaDam.R10_413	e1	CaDam	anserina	het-e	het-e4	413	1
e23_het-e4__CaDam.R10_414	e23	CaDam	anserina	het-e	het-e4	414	2
e22_het-e4__CaDam.R10_415	e22	CaDam	anserina	het-e	het-e4	415	3
e1_het-e__Podan2_416	e1	PaSp	anserina	het-e	het-e	416	1
e23_het-e__Podan2_417	e23	PaSp	anserina	het-e	het-e	417	2
e22_het-e__Podan2_418	e22	PaSp	anserina	het-e	het-e	418	3
e1_het-e__PaWa58m_419	e1	PaWa58m	anserina	het-e	het-e	419	1
e2_het-e__PaWa58m_420	e2	PaWa58m	anserina	het-e	het-e	420	2
e1_het-e__PaWa58m_421	e1	PaWa58m	anserina	het-e	het-e	421	3
e19_het-e__PaWa58m_422	e19	PaWa58m	anserina	het-e	het-e	422	4
e4_het-e__PaWa58m_423	e4	PaWa58m	anserina	het-e	het-e	423	5
e20_het-e__PaWa58m_424	e20	PaWa58m	anserina	het-e	het-e	424	6
e14_het-e__PaWa58m_425	e14	PaWa58m	anserina	het-e	het-e	425	7
e15_het-e__PaWa58m_426	e15	PaWa58m	anserina	het-e	het-e	426	8
e9_het-e__PaWa58m_427	e9	PaWa58m	anserina	het-e	het-e	427	9
e9_het-e__PaWa58m_428	e9	PaWa58m	anserina	het-e	het-e	428	10
e9_het-e__PaWa58m_429	e9	PaWa58m	anserina	het-e	het-e	429	11
e22_het-e__PaWa58m_430	e22	PaWa58m	anserina	het-e	het-e	430	12
e11_het-e__PaWa100p_431	e11	PaWa100p	anserina	het-e	het-e	431	1
e2_het-e__PaWa100p_432	e2	PaWa100p	anserina	het-e	het-e	432	2
e3_het-e__PaWa100p_433	e3	PaWa100p	anserina	het-e	het-e	433	3
e1_het-e__PaWa100p_434	e1	PaWa100p	anserina	het-e	het-e	434	4
e12_het-e__PaWa100p_435	e12	PaWa100p	anserina	het-e	het-e	435	5
e13_het-e__PaWa100p_436	e13	PaWa100p	anserina	het-e	het-e	436	6
e14_het-e__PaWa100p_437	e14	PaWa100p	anserina	het-e	het-e	437	7
e15_het-e__PaWa100p_438	e15	PaWa100p	anserina	het-e	het-e	438	8
e9_het-e__PaWa100p_439	e9	PaWa100p	anserina	het-e	het-e	439	9
e16_het-e__PaWa100p_440	e16	PaWa100p	anserina	het-e	het-e	440	10
e10_het-e__PaWa100p_441	e10	PaWa100p	anserina	het-e	het-e	441	11
e1_het-e__PaWa46p_442	e1	PaWa46p	anserina	het-e	het-e	442	1
e2_het-e__PaWa46p_443	e2	PaWa46p	anserina	het-e	het-e	443	2
e1_het-e__PaWa46p_444	e1	PaWa46p	anserina	het-e	het-e	444	3
e19_het-e__PaWa46p_445	e19	PaWa46p	anserina	het-e	het-e	445	4
e4_het-e__PaWa46p_446	e4	PaWa46p	anserina	het-e	het-e	446	5
e20_het-e__PaWa46p_447	e20	PaWa46p	anserina	het-e	het-e	447	6
e14_het-e__PaWa46p_448	e14	PaWa46p	anserina	het-e	het-e	448	7
e15_het-e__PaWa46p_449	e15	PaWa46p	anserina	het-e	het-e	449	8
e9_het-e__PaWa46p_450	e9	PaWa46p	anserina	het-e	het-e	450	9
e9_het-e__PaWa46p_451	e9	PaWa46p	anserina	het-e	het-e	451	10
e9_het-e__PaWa46p_452	e9	PaWa46p	anserina	het-e	het-e	452	11
e22_het-e__PaWa46p_453	e22	PaWa46p	anserina	het-e	het-e	453	12
e1_het-e__PaWa63p_454	e1	PaWa63p	anserina	het-e	het-e	454	1
e2_het-e__PaWa63p_455	e2	PaWa63p	anserina	het-e	het-e	455	2
e3_het-e__PaWa63p_456	e3	PaWa63p	anserina	het-e	het-e	456	3
e1_het-e__PaWa63p_457	e1	PaWa63p	anserina	het-e	het-e	457	4
e4_het-e__PaWa63p_458	e4	PaWa63p	anserina	het-e	het-e	458	5
e24_het-e__PaWa63p_459	e24	PaWa63p	anserina	het-e	het-e	459	6
e25_het-e__PaWa63p_460	e25	PaWa63p	anserina	het-e	het-e	460	7
e24_het-e__PaWa63p_461	e24	PaWa63p	anserina	het-e	het-e	461	8
e15_het-e__PaWa63p_462	e15	PaWa63p	anserina	het-e	het-e	462	9
e10_het-e__PaWa63p_463	e10	PaWa63p	anserina	het-e	het-e	463	10
e10_het-e__PaWa63p_464	e10	PaWa63p	anserina	het-e	het-e	464	11
e11_het-e__PaWa21m_465	e11	PaWa21m	anserina	het-e	het-e	465	1
e2_het-e__PaWa21m_466	e2	PaWa21m	anserina	het-e	het-e	466	2
e3_het-e__PaWa21m_467	e3	PaWa21m	anserina	het-e	het-e	467	3
e1_het-e__PaWa21m_468	e1	PaWa21m	anserina	het-e	het-e	468	4
e14_het-e__PaWa21m_469	e14	PaWa21m	anserina	het-e	het-e	469	5
e15_het-e__PaWa21m_470	e15	PaWa21m	anserina	het-e	het-e	470	6
e9_het-e__PaWa21m_471	e9	PaWa21m	anserina	het-e	het-e	471	7
e16_het-e__PaWa21m_472	e16	PaWa21m	anserina	het-e	het-e	472	8
e10_het-e__PaWa21m_473	e10	PaWa21m	anserina	het-e	het-e	473	9
e1_het-e__PaWa53m_474	e1	PaWa53m	anserina	het-e	het-e	474	1
e2_het-e__PaWa53m_475	e2	PaWa53m	anserina	het-e	het-e	475	2
e1_het-e__PaWa53m_476	e1	PaWa53m	anserina	het-e	het-e	476	3
e19_het-e__PaWa53m_477	e19	PaWa53m	anserina	het-e	het-e	477	4
e20_het-e__PaWa53m_478	e20	PaWa53m	anserina	het-e	het-e	478	5
e9_het-e__PaWa53m_479	e9	PaWa53m	anserina	het-e	het-e	479	6
e22_het-e__PaWa53m_480	e22	PaWa53m	anserina	het-e	het-e	480	7
e1_het-e__PaWa87p_481	e1	PaWa87p	anserina	het-e	het-e	481	1
e2_het-e__PaWa87p_482	e2	PaWa87p	anserina	het-e	het-e	482	2
e3_het-e__PaWa87p_483	e3	PaWa87p	anserina	het-e	het-e	483	3
e1_het-e__PaWa87p_484	e1	PaWa87p	anserina	het-e	het-e	484	4
e4_het-e__PaWa87p_485	e4	PaWa87p	anserina	het-e	het-e	485	5
e5_het-e__PaWa87p_486	e5	PaWa87p	anserina	het-e	het-e	486	6
e7_het-e__PaWa87p_487	e7	PaWa87p	anserina	het-e	het-e	487	7
e26_het-e__PaWa87p_488	e26	PaWa87p	anserina	het-e	het-e	488	8
e8_het-e__PaWa87p_489	e8	PaWa87p	anserina	het-e	het-e	489	9
e9_het-e__PaWa87p_490	e9	PaWa87p	anserina	het-e	het-e	490	10
e10_het-e__PaWa87p_491	e10	PaWa87p	anserina	het-e	het-e	491	11
e10_het-e__PaWa87p_492	e10	PaWa87p	anserina	het-e	het-e	492	12
e1_het-e__PaWa28m_493	e1	PaWa28m	anserina	het-e	het-e	493	1
e2_het-e__PaWa28m_494	e2	PaWa28m	anserina	het-e	het-e	494	2
e27_het-e__PaWa28m_495	e27	PaWa28m	anserina	het-e	het-e	495	3
e28_het-e__PaWa28m_496	e28	PaWa28m	anserina	het-e	het-e	496	4
e4_het-e__PaWa28m_497	e4	PaWa28m	anserina	het-e	het-e	497	5
e5_het-e__PaWa28m_498	e5	PaWa28m	anserina	het-e	het-e	498	6
e6_het-e__PaWa28m_499	e6	PaWa28m	anserina	het-e	het-e	499	7
e26_het-e__PaWa28m_500	e26	PaWa28m	anserina	het-e	het-e	500	8
e8_het-e__PaWa28m_501	e8	PaWa28m	anserina	het-e	het-e	501	9
e9_het-e__PaWa28m_502	e9	PaWa28m	anserina	het-e	het-e	502	10
e10_het-e__PaWa28m_503	e10	PaWa28m	anserina	het-e	het-e	503	11
e10_het-e__PaWa28m_504	e10	PaWa28m	anserina	het-e	het-e	504	12
e1_het-e__PaWa137m_505	e1	PaWa137m	anserina	het-e	het-e	505	1
e2_het-e__PaWa137m_506	e2	PaWa137m	anserina	het-e	het-e	506	2
e3_het-e__PaWa137m_507	e3	PaWa137m	anserina	het-e	het-e	507	3
e1_het-e__PaWa137m_508	e1	PaWa137m	anserina	het-e	het-e	508	4
e4_het-e__PaWa137m_509	e4	PaWa137m	anserina	het-e	het-e	509	5
e24_het-e__PaWa137m_510	e24	PaWa137m	anserina	het-e	het-e	510	6
e25_het-e__PaWa137m_511	e25	PaWa137m	anserina	het-e	het-e	511	7
e24_het-e__PaWa137m_512	e24	PaWa137m	anserina	het-e	het-e	512	8
e15_het-e__PaWa137m_513	e15	PaWa137m	anserina	het-e	het-e	513	9
e10_het-e__PaWa137m_514	e10	PaWa137m	anserina	het-e	het-e	514	10
e10_het-e__PaWa137m_515	e10	PaWa137m	anserina	het-e	het-e	515	11
e1_het-e__PaTgp_516	e1	PaTgp	anserina	het-e	het-e	516	1
e2_het-e__PaTgp_517	e2	PaTgp	anserina	het-e	het-e	517	2
e3_het-e__PaTgp_518	e3	PaTgp	anserina	het-e	het-e	518	3
e1_het-e__PaTgp_519	e1	PaTgp	anserina	het-e	het-e	519	4
e4_het-e__PaTgp_520	e4	PaTgp	anserina	het-e	het-e	520	5
e24_het-e__PaTgp_521	e24	PaTgp	anserina	het-e	het-e	521	6
e25_het-e__PaTgp_522	e25	PaTgp	anserina	het-e	het-e	522	7
e24_het-e__PaTgp_523	e24	PaTgp	anserina	het-e	het-e	523	8
e15_het-e__PaTgp_524	e15	PaTgp	anserina	het-e	het-e	524	9
e10_het-e__PaTgp_525	e10	PaTgp	anserina	het-e	het-e	525	10
e10_het-e__PaTgp_526	e10	PaTgp	anserina	het-e	het-e	526	11
e2_het-E1A__FJ897789_W40repeats_527	e2	PaA	anserina	het-e	het-E1	527	1
e3_het-E1A__FJ897789_W40repeats_528	e3	PaA	anserina	het-e	het-E1	528	2
e1_het-E1A__FJ897789_W40repeats_529	e1	PaA	anserina	het-e	het-E1	529	3
e17_het-E1A__FJ897789_W40repeats_530	e17	PaA	anserina	het-e	het-E1	530	4
e29_het-E1A__FJ897789_W40repeats_531	e29	PaA	anserina	het-e	het-E1	531	5
e14_het-E1A__FJ897789_W40repeats_532	e14	PaA	anserina	het-e	het-E1	532	6
e15_het-E1A__FJ897789_W40repeats_533	e15	PaA	anserina	het-e	het-E1	533	7
e9_het-E1A__FJ897789_W40repeats_534	e9	PaA	anserina	het-e	het-E1	534	8
e18_het-E1A__FJ897789_W40repeats_535	e18	PaA	anserina	het-e	het-E1	535	9
e10_het-E1A__FJ897789_W40repeats_536	e10	PaA	anserina	het-e	het-E1	536	10
e11_het-E2C__AF323582_537	e11	Pa	anserina	het-e	het-E2	537	1
e2_het-E2C__AF323582_538	e2	Pa	anserina	het-e	het-E2	538	2
e1_het-E2C__AF323582_539	e1	Pa	anserina	het-e	het-E2	539	3
e19_het-E2C__AF323582_540	e19	Pa	anserina	het-e	het-E2	540	4
e13_het-E2C__AF323582_541	e13	Pa	anserina	het-e	het-E2	541	5
e21_het-E2C__AF323582_542	e21	Pa	anserina	het-e	het-E2	542	6
e30_het-E2C__AF323582_543	e30	Pa	anserina	het-e	het-E2	543	7
e15_het-E2C__AF323582_544	e15	Pa	anserina	het-e	het-E2	544	8
e9_het-E2C__AF323582_545	e9	Pa	anserina	het-e	het-E2	545	9
e22_het-E2C__AF323582_546	e22	Pa	anserina	het-e	het-E2	546	10
e11_het-E1A__L28125_547	e11	Pa	anserina	het-e	het-E1	547	1
e2_het-E1A__L28125_548	e2	Pa	anserina	het-e	het-E1	548	2
e3_het-E1A__L28125_549	e3	Pa	anserina	het-e	het-E1	549	3
e1_het-E1A__L28125_550	e1	Pa	anserina	het-e	het-E1	550	4
e29_het-E1A__L28125_551	e29	Pa	anserina	het-e	het-E1	551	5
e14_het-E1A__L28125_552	e14	Pa	anserina	het-e	het-E1	552	6
e15_het-E1A__L28125_553	e15	Pa	anserina	het-e	het-E1	553	7
e9_het-E1A__L28125_554	e9	Pa	anserina	het-e	het-E1	554	8
e18_het-E1A__L28125_555	e18	Pa	anserina	het-e	het-E1	555	9
e10_het-E1A__L28125_556	e10	Pa	anserina	het-e	het-E1	556	10
e11_het-E1A__L28125_fixedlikeEspagne2002_557	e11	Pa	anserina	het-e	het-E1	557	1
e2_het-E1A__L28125_fixedlikeEspagne2002_558	e2	Pa	anserina	het-e	het-E1	558	2
e3_het-E1A__L28125_fixedlikeEspagne2002_559	e3	Pa	anserina	het-e	het-E1	559	3
e1_het-E1A__L28125_fixedlikeEspagne2002_560	e1	Pa	anserina	het-e	het-E1	560	4
