Sequence	RepeatType	Strain	Species	Gene	Allele	SeqID	Position
w9_hnwd1__Podan2_311	w9	PaSp	anserina	hnwd1	hnwd1	311	11
w14_hnwd1__Podan2_312	w14	PaSp	anserina	hnwd1	hnwd1	312	12
w11_hnwd1__Podan2_313	w11	PaSp	anserina	hnwd1	hnwd1	313	13
w12_hnwd1__Podan2_314	w12	PaSp	anserina	hnwd1	hnwd1	314	14
e1_het-E1__CmEmm.R10_315	e1	CmEmm	anserina	het-e	het-E1	315	1
e2_het-E1__CmEmm.R10_316	e2	CmEmm	anserina	het-e	het-E1	316	2
e3_het-E1__CmEmm.R10_317	e3	CmEmm	anserina	het-e	het-E1	317	3
e1_het-E1__CmEmm.R10_318	e1	CmEmm	anserina	het-e	het-E1	318	4
e4_het-E1__CmEmm.R10_319	e4	CmEmm	anserina	het-e	het-E1	319	5
e5_het-E1__CmEmm.R10_320	e5	CmEmm	anserina	het-e	het-E1	320	6
e6_het-E1__CmEmm.R10_321	e6	CmEmm	anserina	het-e	het-E1	321	7
e7_het-E1__CmEmm.R10_322	e7	CmEmm	anserina	het-e	het-E1	322	8
e8_het-E1__CmEmm.R10_323	e8	CmEmm	anserina	het-e	het-E1	323	9
e9_het-E1__CmEmm.R10_324	e9	CmEmm	anserina	het-e	het-E1	324	10
e10_het-E1__CmEmm.R10_325	e10	CmEmm	anserina	het-e	het-E1	325	11
e10_het-E1__CmEmm.R10_326	e10	CmEmm	anserina	het-e	het-E1	326	12
e11_het-E1__ChEhDap.R10_327	e11	ChEhDap	anserina	het-e	het-E1	327	1
e2_het-E1__ChEhDap.R10_328	e2	ChEhDap	anserina	het-e	het-E1	328	2
e3_het-E1__ChEhDap.R10_329	e3	ChEhDap	anserina	het-e	het-E1	329	3
e1_het-E1__ChEhDap.R10_330	e1	ChEhDap	anserina	het-e	het-E1	330	4
e12_het-E1__ChEhDap.R10_331	e12	ChEhDap	anserina	het-e	het-E1	331	5
e13_het-E1__ChEhDap.R10_332	e13	ChEhDap	anserina	het-e	het-E1	332	6
e14_het-E1__ChEhDap.R10_333	e14	ChEhDap	anserina	het-e	het-E1	333	7
e15_het-E1__ChEhDap.R10_334	e15	ChEhDap	anserina	het-e	het-E1	334	8
e9_het-E1__ChEhDap.R10_335	e9	ChEhDap	anserina	het-e	het-E1	335	9
e16_het-E1__ChEhDap.R10_336	e16	ChEhDap	anserina	het-e	het-E1	336	10
e10_het-E1__ChEhDap.R10_337	e10	ChEhDap	anserina	het-e	het-E1	337	11
e11_het-E1__PaYp_338	e11	PaYp	anserina	het-e	het-E1	338	1
e2_het-E1__PaYp_339	e2	PaYp	anserina	het-e	het-E1	339	2
e3_het-E1__PaYp_340	e3	PaYp	anserina	het-e	het-E1	340	3
e1_het-E1__PaYp_341	e1	PaYp	anserina	het-e	het-E1	341	4
e17_het-E1__PaYp_342	e17	PaYp	anserina	het-e	het-E1	342	5
e13_het-E1__PaYp_343	e13	PaYp	anserina	het-e	het-E1	343	6
e14_het-E1__PaYp_344	e14	PaYp	anserina	het-e	het-E1	344	7
e15_het-E1__PaYp_345	e15	PaYp	anserina	het-e	het-E1	345	8
e9_het-E1__PaYp_346	e9	PaYp	anserina	het-e	het-E1	346	9
e18_het-E1__PaYp_347	e18	PaYp	anserina	het-e	het-E1	347	10
e10_het-E1__PaYp_348	e10	PaYp	anserina	het-e	het-E1	348	11
e1_het-E2__CoEcp.R10_349	e1	CoEcp	anserina	het-e	het-E2	349	1
e2_het-E2__CoEcp.R10_350	e2	CoEcp	anserina	het-e	het-E2	350	2
e1_het-E2__CoEcp.R10_351	e1	CoEcp	anserina	het-e	het-E2	351	3
e19_het-E2__CoEcp.R10_352	e19	CoEcp	anserina	het-e	het-E2	352	4
e20_het-E2__CoEcp.R10_353	e20	CoEcp	anserina	het-e	het-E2	353	5
e21_het-E2__CoEcp.R10_354	e21	CoEcp	anserina	het-e	het-E2	354	6
e14_het-E2__CoEcp.R10_355	e14	CoEcp	anserina	het-e	het-E2	355	7
e15_het-E2__CoEcp.R10_356	e15	CoEcp	anserina	het-e	het-E2	356	8
e9_het-E2__CoEcp.R10_357	e9	CoEcp	anserina	het-e	het-E2	357	9
e22_het-E2__CoEcp.R10_358	e22	CoEcp	anserina	het-e	het-E2	358	10
e1_het-E3__CoEfp.R10_359	e1	CoEfp	anserina	het-e	het-E3	359	1
e2_het-E3__CoEfp.R10_360	e2	CoEfp	anserina	het-e	het-E3	360	2
e1_het-E3__CoEfp.R10_361	e1	CoEfp	anserina	het-e	het-E3	361	3
e19_het-E3__CoEfp.R10_362	e19	CoEfp	anserina	het-e	het-E3	362	4
e4_het-E3__CoEfp.R10_363	e4	CoEfp	anserina	het-e	het-E3	363	5
e20_het-E3__CoEfp.R10_364	e20	CoEfp	anserina	het-e	het-E3	364	6
e14_het-E3__CoEfp.R10_365	e14	CoEfp	anserina	het-e	het-E3	365	7
e15_het-E3__CoEfp.R10_366	e15	CoEfp	anserina	het-e	het-E3	366	8
e9_het-E3__CoEfp.R10_367	e9	CoEfp	anserina	het-e	het-E3	367	9
e9_het-E3__CoEfp.R10_368	e9	CoEfp	anserina	het-e	het-E3	368	10
e22_het-E3__CoEfp.R10_369	e22	CoEfp	anserina	het-e	het-E3	369	11
e1_het-E3__PaZp.R10_370	e1	PaZp	anserina	het-e	het-E3	370	1
e2_het-E3__PaZp.R10_371	e2	PaZp	anserina	het-e	het-E3	371	2
e1_het-E3__PaZp.R10_372	e1	PaZp	anserina	het-e	het-E3	372	3
e19_het-E3__PaZp.R10_373	e19	PaZp	anserina	het-e	het-E3	373	4
e4_het-E3__PaZp.R10_374	e4	PaZp	anserina	het-e	het-E3	374	5
e20_het-E3__PaZp.R10_375	e20	PaZp	anserina	het-e	het-E3	375	6
e14_het-E3__PaZp.R10_376	e14	PaZp	anserina	het-e	het-E3	376	7
e15_het-E3__PaZp.R10_377	e15	PaZp	anserina	het-e	het-E3	377	8
e9_het-E3__PaZp.R10_378	e9	PaZp	anserina	het-e	het-E3	378	9
e9_het-E3__PaZp.R10_379	e9	PaZp	anserina	het-e	het-E3	379	10
e9_het-E3__PaZp.R10_380	e9	PaZp	anserina	het-e	het-E3	380	11
e22_het-E3__PaZp.R10_381	e22	PaZp	anserina	het-e	het-E3	381	12
e11_het-E1A__FJ897789_W40repeats_382	e11	PaA	anserina	het-e	het-E1	382	1
e2_het-E1A__FJ897789_W40repeats_383	e2	PaA	anserina	het-e	het-E1	383	2
e3_het-E1A__FJ897789_W40repeats_384	e3	PaA	anserina	het-e	het-E1	384	3
e1_het-E1A__FJ897789_W40repeats_385	e1	PaA	anserina	het-e	het-E1	385	4
e17_het-E1A__FJ897789_W40repeats_386	e17	PaA	anserina	het-e	het-E1	386	5
e23_het-E1A__FJ897789_W40repeats_387	e23	PaA	anserina	het-e	het-E1	387	6
e14_het-E1A__FJ897789_W40repeats_388	e14	PaA	anserina	het-e	het-E1	388	7
e15_het-E1A__FJ897789_W40repeats_389	e15	PaA	anserina	het-e	het-E1	389	8
e9_het-E1A__FJ897789_W40repeats_390	e9	PaA	anserina	het-e	het-E1	390	9
e18_het-E1A__FJ897789_W40repeats_391	e18	PaA	anserina	het-e	het-E1	391	10
e10_het-E1A__FJ897789_W40repeats_392	e10	PaA	anserina	het-e	het-E1	392	11
e1_het-e4__CaDam.R10_393	e1	CaDam	anserina	het-e	het-e4	393	1
e24_het-e4__CaDam.R10_394	e24	CaDam	anserina	het-e	het-e4	394	2
e22_het-e4__CaDam.R10_395	e22	CaDam	anserina	het-e	het-e4	395	3
e11_het-e__PaWa21m_396	e11	PaWa21m	anserina	het-e	het-e	396	1
e2_het-e__PaWa21m_397	e2	PaWa21m	anserina	het-e	het-e	397	2
e3_het-e__PaWa21m_398	e3	PaWa21m	anserina	het-e	het-e	398	3
e1_het-e__PaWa21m_399	e1	PaWa21m	anserina	het-e	het-e	399	4
e14_het-e__PaWa21m_400	e14	PaWa21m	anserina	het-e	het-e	400	5
e15_het-e__PaWa21m_401	e15	PaWa21m	anserina	het-e	het-e	401	6
e9_het-e__PaWa21m_402	e9	PaWa21m	anserina	het-e	het-e	402	7
e16_het-e__PaWa21m_403	e16	PaWa21m	anserina	het-e	het-e	403	8
e10_het-e__PaWa21m_404	e10	PaWa21m	anserina	het-e	het-e	404	9
e1_het-e__PaWa28m_405	e1	PaWa28m	anserina	het-e	het-e	405	1
e2_het-e__PaWa28m_406	e2	PaWa28m	anserina	het-e	het-e	406	2
e25_het-e__PaWa28m_407	e25	PaWa28m	anserina	het-e	het-e	407	3
e26_het-e__PaWa28m_408	e26	PaWa28m	anserina	het-e	het-e	408	4
e4_het-e__PaWa28m_409	e4	PaWa28m	anserina	het-e	het-e	409	5
e5_het-e__PaWa28m_410	e5	PaWa28m	anserina	het-e	het-e	410	6
e6_het-e__PaWa28m_411	e6	PaWa28m	anserina	het-e	het-e	411	7
e27_het-e__PaWa28m_412	e27	PaWa28m	anserina	het-e	het-e	412	8
e8_het-e__PaWa28m_413	e8	PaWa28m	anserina	het-e	het-e	413	9
e9_het-e__PaWa28m_414	e9	PaWa28m	anserina	het-e	het-e	414	10
e10_het-e__PaWa28m_415	e10	PaWa28m	anserina	het-e	het-e	415	11
e10_het-e__PaWa28m_416	e10	PaWa28m	anserina	het-e	het-e	416	12
e1_het-e__PaWa46p_417	e1	PaWa46p	anserina	het-e	het-e	417	1
e2_het-e__PaWa46p_418	e2	PaWa46p	anserina	het-e	het-e	418	2
e1_het-e__PaWa46p_419	e1	PaWa46p	anserina	het-e	het-e	419	3
e19_het-e__PaWa46p_420	e19	PaWa46p	anserina	het-e	het-e	420	4
e4_het-e__PaWa46p_421	e4	PaWa46p	anserina	het-e	het-e	421	5
e20_het-e__PaWa46p_422	e20	PaWa46p	anserina	het-e	het-e	422	6
e14_het-e__PaWa46p_423	e14	PaWa46p	anserina	het-e	het-e	423	7
e15_het-e__PaWa46p_424	e15	PaWa46p	anserina	het-e	het-e	424	8
e9_het-e__PaWa46p_425	e9	PaWa46p	anserina	het-e	het-e	425	9
e9_het-e__PaWa46p_426	e9	PaWa46p	anserina	het-e	het-e	426	10
e9_het-e__PaWa46p_427	e9	PaWa46p	anserina	het-e	het-e	427	11
e22_het-e__PaWa46p_428	e22	PaWa46p	anserina	het-e	het-e	428	12
e1_het-e__PaWa53m_429	e1	PaWa53m	anserina	het-e	het-e	429	1
e2_het-e__PaWa53m_430	e2	PaWa53m	anserina	het-e	het-e	430	2
e1_het-e__PaWa53m_431	e1	PaWa53m	anserina	het-e	het-e	431	3
e19_het-e__PaWa53m_432	e19	PaWa53m	anserina	het-e	het-e	432	4
e20_het-e__PaWa53m_433	e20	PaWa53m	anserina	het-e	het-e	433	5
e9_het-e__PaWa53m_434	e9	PaWa53m	anserina	het-e	het-e	434	6
e22_het-e__PaWa53m_435	e22	PaWa53m	anserina	het-e	het-e	435	7
e1_het-e__PaWa58m_436	e1	PaWa58m	anserina	het-e	het-e	436	1
e2_het-e__PaWa58m_437	e2	PaWa58m	anserina	het-e	het-e	437	2
e1_het-e__PaWa58m_438	e1	PaWa58m	anserina	het-e	het-e	438	3
e19_het-e__PaWa58m_439	e19	PaWa58m	anserina	het-e	het-e	439	4
e4_het-e__PaWa58m_440	e4	PaWa58m	anserina	het-e	het-e	440	5
e20_het-e__PaWa58m_441	e20	PaWa58m	anserina	het-e	het-e	441	6
e14_het-e__PaWa58m_442	e14	PaWa58m	anserina	het-e	het-e	442	7
e15_het-e__PaWa58m_443	e15	PaWa58m	anserina	het-e	het-e	443	8
e9_het-e__PaWa58m_444	e9	PaWa58m	anserina	het-e	het-e	444	9
e9_het-e__PaWa58m_445	e9	PaWa58m	anserina	het-e	het-e	445	10
e9_het-e__PaWa58m_446	e9	PaWa58m	anserina	het-e	het-e	446	11
e22_het-e__PaWa58m_447	e22	PaWa58m	anserina	het-e	het-e	447	12
e1_het-e__PaWa63p_448	e1	PaWa63p	anserina	het-e	het-e	448	1
e2_het-e__PaWa63p_449	e2	PaWa63p	anserina	het-e	het-e	449	2
e3_het-e__PaWa63p_450	e3	PaWa63p	anserina	het-e	het-e	450	3
e1_het-e__PaWa63p_451	e1	PaWa63p	anserina	het-e	het-e	451	4
e4_het-e__PaWa63p_452	e4	PaWa63p	anserina	het-e	het-e	452	5
e28_het-e__PaWa63p_453	e28	PaWa63p	anserina	het-e	het-e	453	6
e29_het-e__PaWa63p_454	e29	PaWa63p	anserina	het-e	het-e	454	7
e28_het-e__PaWa63p_455	e28	PaWa63p	anserina	het-e	het-e	455	8
e15_het-e__PaWa63p_456	e15	PaWa63p	anserina	het-e	het-e	456	9
e10_het-e__PaWa63p_457	e10	PaWa63p	anserina	het-e	het-e	457	10
e10_het-e__PaWa63p_458	e10	PaWa63p	anserina	het-e	het-e	458	11
e1_het-e__PaWa87p_459	e1	PaWa87p	anserina	het-e	het-e	459	1
e2_het-e__PaWa87p_460	e2	PaWa87p	anserina	het-e	het-e	460	2
e3_het-e__PaWa87p_461	e3	PaWa87p	anserina	het-e	het-e	461	3
e1_het-e__PaWa87p_462	e1	PaWa87p	anserina	het-e	het-e	462	4
e4_het-e__PaWa87p_463	e4	PaWa87p	anserina	het-e	het-e	463	5
e5_het-e__PaWa87p_464	e5	PaWa87p	anserina	het-e	het-e	464	6
e7_het-e__PaWa87p_465	e7	PaWa87p	anserina	het-e	het-e	465	7
e27_het-e__PaWa87p_466	e27	PaWa87p	anserina	het-e	het-e	466	8
e8_het-e__PaWa87p_467	e8	PaWa87p	anserina	het-e	het-e	467	9
e9_het-e__PaWa87p_468	e9	PaWa87p	anserina	het-e	het-e	468	10
e10_het-e__PaWa87p_469	e10	PaWa87p	anserina	het-e	het-e	469	11
e10_het-e__PaWa87p_470	e10	PaWa87p	anserina	het-e	het-e	470	12
e11_het-e__PaWa100p_471	e11	PaWa100p	anserina	het-e	het-e	471	1
e2_het-e__PaWa100p_472	e2	PaWa100p	anserina	het-e	het-e	472	2
e3_het-e__PaWa100p_473	e3	PaWa100p	anserina	het-e	het-e	473	3
e1_het-e__PaWa100p_474	e1	PaWa100p	anserina	het-e	het-e	474	4
e12_het-e__PaWa100p_475	e12	PaWa100p	anserina	het-e	het-e	475	5
e13_het-e__PaWa100p_476	e13	PaWa100p	anserina	het-e	het-e	476	6
e14_het-e__PaWa100p_477	e14	PaWa100p	anserina	het-e	het-e	477	7
e15_het-e__PaWa100p_478	e15	PaWa100p	anserina	het-e	het-e	478	8
e9_het-e__PaWa100p_479	e9	PaWa100p	anserina	het-e	het-e	479	9
e16_het-e__PaWa100p_480	e16	PaWa100p	anserina	het-e	het-e	480	10
e10_het-e__PaWa100p_481	e10	PaWa100p	anserina	het-e	het-e	481	11
e1_het-e__PaWa137m_482	e1	PaWa137m	anserina	het-e	het-e	482	1
e2_het-e__PaWa137m_483	e2	PaWa137m	anserina	het-e	het-e	483	2
e3_het-e__PaWa137m_484	e3	PaWa137m	anserina	het-e	het-e	484	3
e1_het-e__PaWa137m_485	e1	PaWa137m	anserina	het-e	het-e	485	4
e4_het-e__PaWa137m_486	e4	PaWa137m	anserina	het-e	het-e	486	5
e28_het-e__PaWa137m_487	e28	PaWa137m	anserina	het-e	het-e	487	6
e29_het-e__PaWa137m_488	e29	PaWa137m	anserina	het-e	het-e	488	7
e28_het-e__PaWa137m_489	e28	PaWa137m	anserina	het-e	het-e	489	8
e15_het-e__PaWa137m_490	e15	PaWa137m	anserina	het-e	het-e	490	9
e10_het-e__PaWa137m_491	e10	PaWa137m	anserina	het-e	het-e	491	10
e10_het-e__PaWa137m_492	e10	PaWa137m	anserina	het-e	het-e	492	11
e1_het-e__PaTgp_493	e1	PaTgp	anserina	het-e	het-e	493	1
e2_het-e__PaTgp_494	e2	PaTgp	anserina	het-e	het-e	494	2
e3_het-e__PaTgp_495	e3	PaTgp	anserina	het-e	het-e	495	3
e1_het-e__PaTgp_496	e1	PaTgp	anserina	het-e	het-e	496	4
e4_het-e__PaTgp_497	e4	PaTgp	anserina	het-e	het-e	497	5
e28_het-e__PaTgp_498	e28	PaTgp	anserina	het-e	het-e	498	6
e29_het-e__PaTgp_499	e29	PaTgp	anserina	het-e	het-e	499	7
e28_het-e__PaTgp_500	e28	PaTgp	anserina	het-e	het-e	500	8
e15_het-e__PaTgp_501	e15	PaTgp	anserina	het-e	het-e	501	9
e10_het-e__PaTgp_502	e10	PaTgp	anserina	het-e	het-e	502	10
e10_het-e__PaTgp_503	e10	PaTgp	anserina	het-e	het-e	503	11
e1_het-e__Podan2_504	e1	PaSp	anserina	het-e	het-e	504	1
e24_het-e__Podan2_505	e24	PaSp	anserina	het-e	het-e	505	2
e22_het-e__Podan2_506	e22	PaSp	anserina	het-e	het-e	506	3
r1_het-R__PaWa63p_507	r1	PaWa63p	anserina	het-r	het-R	507	1
r2_het-R__PaWa63p_508	r2	PaWa63p	anserina	het-r	het-R	508	2
r3_het-R__PaWa63p_509	r3	PaWa63p	anserina	het-r	het-R	509	3
r4_het-R__PaWa63p_510	r4	PaWa63p	anserina	het-r	het-R	510	4
r5_het-R__PaWa63p_511	r5	PaWa63p	anserina	het-r	het-R	511	5
r6_het-R__PaWa63p_512	r6	PaWa63p	anserina	het-r	het-R	512	6
r7_het-R__PaWa63p_513	r7	PaWa63p	anserina	het-r	het-R	513	7
r8_het-R__PaWa63p_514	r8	PaWa63p	anserina	het-r	het-R	514	8
r9_het-R__PaWa63p_515	r9	PaWa63p	anserina	het-r	het-R	515	9
r10_het-R__PaWa63p_516	r10	PaWa63p	anserina	het-r	het-R	516	10
r11_het-R__PaWa63p_517	r11	PaWa63p	anserina	het-r	het-R	517	11
r1_het-R__PaYp_518	r1	PaYp	anserina	het-r	het-R	518	1
r2_het-R__PaYp_519	r2	PaYp	anserina	het-r	het-R	519	2
r3_het-R__PaYp_520	r3	PaYp	anserina	het-r	het-R	520	3
r4_het-R__PaYp_521	r4	PaYp	anserina	het-r	het-R	521	4
r5_het-R__PaYp_522	r5	PaYp	anserina	het-r	het-R	522	5
r6_het-R__PaYp_523	r6	PaYp	anserina	het-r	het-R	523	6
r7_het-R__PaYp_524	r7	PaYp	anserina	het-r	het-R	524	7
r8_het-R__PaYp_525	r8	PaYp	anserina	het-r	het-R	525	8
r9_het-R__PaYp_526	r9	PaYp	anserina	het-r	het-R	526	9
r10_het-R__PaYp_527	r10	PaYp	anserina	het-r	het-R	527	10
r11_het-R__PaYp_528	r11	PaYp	anserina	het-r	het-R	528	11
r3_het-r__PaWa100p_529	r3	PaWa100p	anserina	het-r	het-r	529	1
r3_het-r__PaWa53m_530	r3	PaWa53m	anserina	het-r	het-r	530	1
r1_het-r__PaWa21m_531	r1	PaWa21m	anserina	het-r	het-r	531	1
r2_het-r__PaWa21m_532	r2	PaWa21m	anserina	het-r	het-r	532	2
r3_het-r__PaWa21m_533	r3	PaWa21m	anserina	het-r	het-r	533	3
r4_het-r__PaWa21m_534	r4	PaWa21m	anserina	het-r	het-r	534	4
r5_het-r__PaWa21m_535	r5	PaWa21m	anserina	het-r	het-r	535	5
r6_het-r__PaWa21m_536	r6	PaWa21m	anserina	het-r	het-r	536	6
r7_het-r__PaWa21m_537	r7	PaWa21m	anserina	het-r	het-r	537	7
r8_het-r__PaWa21m_538	r8	PaWa21m	anserina	het-r	het-r	538	8
r9_het-r__PaWa21m_539	r9	PaWa21m	anserina	het-r	het-r	539	9
r10_het-r__PaWa21m_540	r10	PaWa21m	anserina	het-r	het-r	540	10
r11_het-r__PaWa21m_541	r11	PaWa21m	anserina	het-r	het-r	541	11
r1_het-r__PaWa28m_542	r1	PaWa28m	anserina	het-r	het-r	542	1
r2_het-r__PaWa28m_543	r2	PaWa28m	anserina	het-r	het-r	543	2
r3_het-r__PaWa28m_544	r3	PaWa28m	anserina	het-r	het-r	544	3
r4_het-r__PaWa28m_545	r4	PaWa28m	anserina	het-r	het-r	545	4
r5_het-r__PaWa28m_546	r5	PaWa28m	anserina	het-r	het-r	546	5
r6_het-r__PaWa28m_547	r6	PaWa28m	anserina	het-r	het-r	547	6
r7_het-r__PaWa28m_548	r7	PaWa28m	anserina	het-r	het-r	548	7
r8_het-r__PaWa28m_549	r8	PaWa28m	anserina	het-r	het-r	549	8
r9_het-r__PaWa28m_550	r9	PaWa28m	anserina	het-r	het-r	550	9
r10_het-r__PaWa28m_551	r10	PaWa28m	anserina	het-r	het-r	551	10
r11_het-r__PaWa28m_552	r11	PaWa28m	anserina	het-r	het-r	552	11
r1_het-r__PaWa46p_553	r1	PaWa46p	anserina	het-r	het-r	553	1
r2_het-r__PaWa46p_554	r2	PaWa46p	anserina	het-r	het-r	554	2
r3_het-r__PaWa46p_555	r3	PaWa46p	anserina	het-r	het-r	555	3
r4_het-r__PaWa46p_556	r4	PaWa46p	anserina	het-r	het-r	556	4
r5_het-r__PaWa46p_557	r5	PaWa46p	anserina	het-r	het-r	557	5
r6_het-r__PaWa46p_558	r6	PaWa46p	anserina	het-r	het-r	558	6
r7_het-r__PaWa46p_559	r7	PaWa46p	anserina	het-r	het-r	559	7
r8_het-r__PaWa46p_560	r8	PaWa46p	anserina	het-r	het-r	560	8
r9_het-r__PaWa46p_561	r9	PaWa46p	anserina	het-r	het-r	561	9
r10_het-r__PaWa46p_562	r10	PaWa46p	anserina	het-r	het-r	562	10
r11_het-r__PaWa46p_563	r11	PaWa46p	anserina	het-r	het-r	563	11
r1_het-r__PaWa58m_564	r1	PaWa58m	anserina	het-r	het-r	564	1
r2_het-r__PaWa58m_565	r2	PaWa58m	anserina	het-r	het-r	565	2
r3_het-r__PaWa58m_566	r3	PaWa58m	anserina	het-r	het-r	566	3
r4_het-r__PaWa58m_567	r4	PaWa58m	anserina	het-r	het-r	567	4
r12_het-r__PaWa58m_568	r12	PaWa58m	anserina	het-r	het-r	568	5
r7_het-r__PaWa58m_569	r7	PaWa58m	anserina	het-r	het-r	569	6
r8_het-r__PaWa58m_570	r8	PaWa58m	anserina	het-r	het-r	570	7
r9_het-r__PaWa58m_571	r9	PaWa58m	anserina	het-r	het-r	571	8
r10_het-r__PaWa58m_572	r10	PaWa58m	anserina	het-r	het-r	572	9
r11_het-r__PaWa58m_573	r11	PaWa58m	anserina	het-r	het-r	573	10
r1_het-r__PaWa87p_574	r1	PaWa87p	anserina	het-r	het-r	574	1
r2_het-r__PaWa87p_575	r2	PaWa87p	anserina	het-r	het-r	575	2
r3_het-r__PaWa87p_576	r3	PaWa87p	anserina	het-r	het-r	576	3
r4_het-r__PaWa87p_577	r4	PaWa87p	anserina	het-r	het-r	577	4
r13_het-r__PaWa87p_578	r13	PaWa87p	anserina	het-r	het-r	578	5
r13_het-r__PaWa87p_579	r13	PaWa87p	anserina	het-r	het-r	579	6
r2_het-r__PaWa87p_580	r2	PaWa87p	anserina	het-r	het-r	580	7
r4_het-r__PaWa87p_581	r4	PaWa87p	anserina	het-r	het-r	581	8
r5_het-r__PaWa87p_582	r5	PaWa87p	anserina	het-r	het-r	582	9
r14_het-r__PaWa87p_583	r14	PaWa87p	anserina	het-r	het-r	583	10
r10_het-r__PaWa87p_584	r10	PaWa87p	anserina	het-r	het-r	584	11
r11_het-r__PaWa87p_585	r11	PaWa87p	anserina	het-r	het-r	585	12
r1_het-r__PaWa137m_586	r1	PaWa137m	anserina	het-r	het-r	586	1
r2_het-r__PaWa137m_587	r2	PaWa137m	anserina	het-r	het-r	587	2
r3_het-r__PaWa137m_588	r3	PaWa137m	anserina	het-r	het-r	588	3
r4_het-r__PaWa137m_589	r4	PaWa137m	anserina	het-r	het-r	589	4
r5_het-r__PaWa137m_590	r5	PaWa137m	anserina	het-r	het-r	590	5
r6_het-r__PaWa137m_591	r6	PaWa137m	anserina	het-r	het-r	591	6
r7_het-r__PaWa137m_592	r7	PaWa137m	anserina	het-r	het-r	592	7
r8_het-r__PaWa137m_593	r8	PaWa137m	anserina	het-r	het-r	593	8
r9_het-r__PaWa137m_594	r9	PaWa137m	anserina	het-r	het-r	594	9
r10_het-r__PaWa137m_595	r10	PaWa137m	anserina	het-r	het-r	595	10
r11_het-r__PaWa137m_596	r11	PaWa137m	anserina	het-r	het-r	596	11
r1_het-r__PaTgp_597	r1	PaTgp	anserina	het-r	het-r	597	1
r2_het-r__PaTgp_598	r2	PaTgp	anserina	het-r	het-r	598	2
r3_het-r__PaTgp_599	r3	PaTgp	anserina	het-r	het-r	599	3
r4_het-r__PaTgp_600	r4	PaTgp	anserina	het-r	het-r	600	4
r5_het-r__PaTgp_601	r5	PaTgp	anserina	het-r	het-r	601	5
r6_het-r__PaTgp_602	r6	PaTgp	anserina	het-r	het-r	602	6
r7_het-r__PaTgp_603	r7	PaTgp	anserina	het-r	het-r	603	7
r8_het-r__PaTgp_604	r8	PaTgp	anserina	het-r	het-r	604	8
r9_het-r__PaTgp_605	r9	PaTgp	anserina	het-r	het-r	605	9
r10_het-r__PaTgp_606	r10	PaTgp	anserina	het-r	het-r	606	10
r11_het-r__PaTgp_607	r11	PaTgp	anserina	het-r	het-r	607	11
r3_het-r__PaZp.R10_608	r3	PaZp	anserina	het-r	het-r	608	1
r10_het-r__PaZp.R10_609	r10	PaZp	anserina	het-r	het-r	609	2
r11_het-r__PaZp.R10_610	r11	PaZp	anserina	het-r	het-r	610	3
r1_het-r__Podan2_611	r1	PaSp	anserina	het-r	het-r	611	1
r2_het-r__Podan2_612	r2	PaSp	anserina	het-r	het-r	612	2
r15_het-r__Podan2_613	r15	PaSp	anserina	het-r	het-r	613	3
y1_hnwd3__Podan2_614	y1	PaSp	anserina	hnwd3	hnwd3	614	1
y2_hnwd3__Podan2_615	y2	PaSp	anserina	hnwd3	hnwd3	615	2
y3_hnwd3__Podan2_616	y3	PaSp	anserina	hnwd3	hnwd3	616	3
y4_hnwd3__Podan2_617	y4	PaSp	anserina	hnwd3	hnwd3	617	4
y4_hnwd3__Podan2_618	y4	PaSp	anserina	hnwd3	hnwd3	618	5
y5_hnwd3__Podan2_619	y5	PaSp	anserina	hnwd3	hnwd3	619	6
y6_hnwd3__Podan2_620	y6	PaSp	anserina	hnwd3	hnwd3	620	7
y7_hnwd3__Podan2_621	y7	PaSp	anserina	hnwd3	hnwd3	621	8
y8_hnwd3__Podan2_622	y8	PaSp	anserina	hnwd3	hnwd3	622	9
y9_hnwd3__Podan2_623	y9	PaSp	anserina	hnwd3	hnwd3	623	10
y1_hnwd3__PaWa46p_624	y1	PaWa46p	anserina	hnwd3	hnwd3	624	1
y2_hnwd3__PaWa46p_625	y2	PaWa46p	anserina	hnwd3	hnwd3	625	2
y3_hnwd3__PaWa46p_626	y3	PaWa46p	anserina	hnwd3	hnwd3	626	3
y4_hnwd3__PaWa46p_627	y4	PaWa46p	anserina	hnwd3	hnwd3	627	4
y4_hnwd3__PaWa46p_628	y4	PaWa46p	anserina	hnwd3	hnwd3	628	5
y5_hnwd3__PaWa46p_629	y5	PaWa46p	anserina	hnwd3	hnwd3	629	6
y6_hnwd3__PaWa46p_630	y6	PaWa46p	anserina	hnwd3	hnwd3	630	7
y7_hnwd3__PaWa46p_631	y7	PaWa46p	anserina	hnwd3	hnwd3	631	8
y8_hnwd3__PaWa46p_632	y8	PaWa46p	anserina	hnwd3	hnwd3	632	9
y9_hnwd3__PaWa46p_633	y9	PaWa46p	anserina	hnwd3	hnwd3	633	10
y1_hnwd3__PaWa53m_634	y1	PaWa53m	anserina	hnwd3	hnwd3	634	1
y2_hnwd3__PaWa53m_635	y2	PaWa53m	anserina	hnwd3	hnwd3	635	2
y3_hnwd3__PaWa53m_636	y3	PaWa53m	anserina	hnwd3	hnwd3	636	3
y4_hnwd3__PaWa53m_637	y4	PaWa53m	anserina	hnwd3	hnwd3	637	4
